Reaction,PubMed,Year
R-HSA-1237325,16994616,1934
R-HSA-1247668,16994616,1934
R-HSA-5676912,20259080,1947
R-HSA-71287,20238607,1947
R-HSA-450984,18914071,1948
R-HSA-5662669,18920770,1948
R-HSA-5662706,18920770,1948
R-HSA-5672019,18920770,1948
R-HSA-70449,18910717,1948
R-HSA-70449,18910716,1948
R-HSA-9013198,18872649,1948
R-HSA-9013471,18872649,1948
R-HSA-374331,18127230,1949
R-HSA-450984,14832224,1951
R-HSA-70342,13093749,1953
R-HSA-70349,13093749,1953
R-HSA-71541,13115432,1953
R-HSA-71588,13115432,1953
R-HSA-73569,13115431,1953
R-HSA-893583,13069505,1953
R-HSA-893596,13069505,1953
R-HSA-893597,13069505,1953
R-HSA-893609,13069505,1953
R-HSA-168895,13174769,1954
R-HSA-482619,13211603,1954
R-HSA-482621,13211603,1954
R-HSA-70997,13181903,1954
R-HSA-71775,13181903,1954
R-HSA-2168885,13342742,1956
R-HSA-77256,13295248,1956
R-HSA-77263,13295225,1956
R-HSA-77274,13295225,1956
R-HSA-77299,13295225,1956
R-HSA-77314,13295248,1956
R-HSA-77319,13295225,1956
R-HSA-77325,13295248,1956
R-HSA-77327,13295225,1956
R-HSA-77333,13295248,1956
R-HSA-77338,13295225,1956
R-HSA-77344,13295248,1956
R-HSA-77345,13295225,1956
R-HSA-2168885,13472068,1957
R-HSA-379464,13416264,1957
R-HSA-508473,13416257,1957
R-HSA-70885,13416257,1957
R-HSA-197186,13563527,1958
R-HSA-392129,13549488,1958
R-HSA-70471,13538944,1958
R-HSA-70475,13538944,1958
R-HSA-8981606,13584010,1958
R-HSA-8981622,13584010,1958
R-HSA-5655955,13651131,1959
R-HSA-5652172,14401390,1960
R-HSA-5652195,14401391,1960
R-HSA-6784224,13681368,1960
R-HSA-6784399,13681370,1960
R-HSA-6807052,14404284,1960
R-HSA-6807053,14404284,1960
R-HSA-6807055,14404284,1960
R-HSA-6807064,14404284,1960
R-HSA-265301,14463577,1961
R-HSA-388605,14463577,1961
R-HSA-5662473,14007506,1961
R-HSA-71031,13752080,1961
R-HSA-71020,13934211,1962
R-HSA-158609,13981612,1963
R-HSA-71682,14086726,1963
R-HSA-6784393,14170323,1964
R-HSA-6784423,14193832,1964
R-HSA-159567,5862532,1965
R-HSA-163215,5840415,1965
R-HSA-163215,5857365,1965
R-HSA-166753,14280442,1965
R-HSA-264679,5865378,1965
R-HSA-71239,14275130,1965
R-HSA-169270,4288886,1966
R-HSA-191366,5918048,1966
R-HSA-2161659,5903721,1966
R-HSA-418309,5961668,1966
R-HSA-446221,5946626,1966
R-HSA-1237325,16992238,1967
R-HSA-1650808,16591531,1967
R-HSA-166792,6019133,1967
R-HSA-166795,6019133,1967
R-HSA-2022412,4289389,1967
R-HSA-2467761,6033942,1967
R-HSA-71732,6022858,1967
R-HSA-1237325,5656372,1968
R-HSA-1237325,4975618,1968
R-HSA-1247668,4975618,1968
R-HSA-2002466,5246001,1968
R-HSA-2243931,5723342,1968
R-HSA-2395257,5723342,1968
R-HSA-2395340,5246001,1968
R-HSA-2404135,5675424,1968
R-HSA-2404139,5675424,1968
R-HSA-6798335,5687724,1968
R-HSA-70377,5666113,1968
R-HSA-74101,5315589,1968
R-HSA-158399,4178758,1969
R-HSA-1605624,5822067,1969
R-HSA-1606312,5822067,1969
R-HSA-1630306,5822067,1969
R-HSA-2090079,5822067,1969
R-HSA-2466846,5763079,1969
R-HSA-2467761,5792328,1969
R-HSA-3299691,5389100,1969
R-HSA-5655955,5810867,1969
R-HSA-70286,5348606,1969
R-HSA-70342,5353106,1969
R-HSA-70342,5777313,1969
R-HSA-110144,5484814,1970
R-HSA-110145,5484814,1970
R-HSA-139970,4195988,1970
R-HSA-2046095,5411545,1970
R-HSA-5653878,11947697,1970
R-HSA-5653886,11947697,1970
R-HSA-5661240,4392213,1970
R-HSA-70286,5427280,1970
R-HSA-71541,5461220,1970
R-HSA-71588,5461220,1970
R-HSA-8852809,4098172,1970
R-HSA-9036727,5264799,1970
R-HSA-111215,4328836,1971
R-HSA-1475022,4994926,1971
R-HSA-1475026,4994926,1971
R-HSA-1475435,4994926,1971
R-HSA-1475436,4994926,1971
R-HSA-188985,5104075,1971
R-HSA-2022412,4330891,1971
R-HSA-2022412,4322712,1971
R-HSA-2168885,5135507,1971
R-HSA-2168885,4327491,1971
R-HSA-372342,11945601,1971
R-HSA-379395,4398930,1971
R-HSA-5336417,5545092,1971
R-HSA-5336421,4326212,1971
R-HSA-73580,4328836,1971
R-HSA-1237325,4647257,1972
R-HSA-139970,5048998,1972
R-HSA-159179,4639028,1972
R-HSA-163625,11946536,1972
R-HSA-174757,5057882,1972
R-HSA-189381,4553030,1972
R-HSA-2395768,5057882,1972
R-HSA-264695,4335615,1972
R-HSA-264695,4340992,1972
R-HSA-429786,4339164,1972
R-HSA-429798,4339164,1972
R-HSA-5336417,5022429,1972
R-HSA-6798335,4555506,1972
R-HSA-71707,4504607,1972
R-HSA-71850,5009693,1972
R-HSA-8981606,5032105,1972
R-HSA-8981622,5032105,1972
R-HSA-111285,4348202,1973
R-HSA-111285,4726295,1973
R-HSA-111289,4348202,1973
R-HSA-111289,4726295,1973
R-HSA-1237325,4514311,1973
R-HSA-1247668,4514311,1973
R-HSA-1247668,4203704,1973
R-HSA-140355,4776443,1973
R-HSA-140359,4514999,1973
R-HSA-158357,4703226,1973
R-HSA-164832,4517936,1973
R-HSA-164834,4517936,1973
R-HSA-164840,4517936,1973
R-HSA-174660,4345202,1973
R-HSA-188985,4737205,1973
