"""protein""","""reactionCount""","""pathwayCount"""
"""Q06609""",10,10
"""Q14693""",2,6
"""P11047""",1,4
"""Q86TH1""",2,4
"""P41181""",4,4
"""Q96P20""",1,4
"""O75531""",2,10
"""Q13371""",6,4
"""Q04912""",1,3
"""P62256""",1,4
"""Q9BXS0""",12,6
"""Q92769""",1,5
"""A6NMZ7""",16,12
"""P52564""",8,38
"""P40429""",2,4
"""Q6W4X9""",14,9
"""P16234""",21,15
"""P42695""",3,5
"""O75015""",1,3
"""P15880""",1,6
"""Q13485""",1,8
"""O95274""",1,3
"""Q6RW13""",5,4
"""Q8N6P7""",1,4
"""P30518""",12,4
"""Q96J94""",2,3
"""Q9UPY6""",5,8
"""Q05397""",47,25
"""O95487""",2,8
"""P09619""",22,15
"""Q13557""",16,30
"""Q9Y6N5""",3,5
"""O95997""",1,11
"""P20337""",1,3
"""O14618""",5,3
"""O15151""",8,17
"""Q13761""",9,6
"""P42680""",4,4
"""P35270""",3,7
"""Q99504""",2,4
"""O14791""",1,4
"""P58876""",10,12
"""O60229""",1,3
"""P11245""",2,4
"""Q93098""",9,5
"""P01229""",8,22
"""Q9BRK3""",1,4
"""Q9H8Y8""",1,5
"""Q15293""",1,4
"""Q99878""",14,11
"""Q15173""",1,5
"""Q06828""",8,7
"""P22748""",4,6
"""O95196""",13,8
"""P49841""",2,8
"""Q14526""",1,5
"""P07307""",1,3
"""Q9UPV9""",5,4
"""P61006""",2,7
"""Q6NZY7""",1,3
"""O60220""",2,2
"""Q9BUK0""",1,2
"""P30305""",1,3
"""O75525""",1,4
"""P11926""",4,4
"""P35555""",1,4
"""Q13188""",6,2
"""Q15464""",18,4
"""Q6YP21""",1,4
"""Q9Y6Q2""",1,4
"""P17302""",2,5
"""Q14703""",1,4
"""Q96FF9""",8,8
"""O00755""",3,3
"""P62979""",17,13
"""P09693""",21,13
"""Q99665""",1,5
"""Q5VWX1""",1,4
"""P15391""",3,13
"""Q15080""",3,9
"""P13521""",1,4
"""Q96A32""",5,2
"""P05412""",9,43
"""Q16526""",3,1
"""Q8N114""",1,4
"""O00167""",2,4
"""O14531""",3,4
"""P30530""",3,4
"""Q92754""",1,10
"""P10276""",2,3
"""Q05469""",8,4
"""Q8TDM5""",1,3
"""Q86UN2""",1,3
"""P25098""",2,16
"""Q7Z6P3""",1,3
"""Q99983""",7,5
"""P11388""",3,5
"""Q96A08""",10,12
"""P54687""",2,3
"""O76061""",1,4
"""P24928""",80,47
"""P08842""",2,8
"""Q7Z3Z4""",1,3
"""P15586""",1,5
"""O15232""",1,4
"""Q53T94""",10,11
"""P13196""",1,3
"""O60285""",2,6
"""P15311""",7,5
"""O00206""",25,13
"""Q99102""",14,9
"""P37840""",4,2
"""P15289""",2,8
"""O00716""",1,4
"""Q16270""",1,4
"""Q05655""",9,15
"""P20700""",2,9
"""Q9Y2X7""",7,4
"""Q92466""",13,10
"""Q9H1Y0""",5,2
"""Q13467""",2,4
"""Q14031""",12,5
"""Q9UKW4""",18,20
"""Q9ULT6""",1,4
"""Q9H195""",14,9
"""Q5BIV9""",1,3
"""P49427""",2,4
"""Q9UJV9""",1,4
"""P10747""",11,15
"""P02452""",14,7
"""Q9UGK3""",3,4
"""Q9HB75""",5,6
"""P02671""",1,4
"""P07910""",1,5
"""O15169""",15,10
"""Q96JA1""",3,4
"""Q13233""",3,4
"""Q14103""",2,3
"""Q07343""",1,6
"""P49448""",2,3
"""P22352""",1,3
"""P51812""",6,45
"""Q12873""",1,5
"""Q02156""",2,10
"""P63000""",9,10
"""P08572""",13,6
"""P39060""",14,8
"""Q14993""",11,4
"""Q86WV6""",9,7
"""P18846""",1,29
"""P02545""",7,12
"""P17181""",9,5
"""Q99653""",1,5
"""Q8NFW1""",12,4
"""Q14118""",5,3
"""Q8IVN8""",2,4
"""Q02447""",2,5
"""Q9UBU3""",9,10
"""Q9Y5Y0""",1,2
"""P23497""",2,5
"""O75030""",1,5
"""P06737""",5,7
"""Q8TE56""",2,4
"""Q96LC9""",3,6
"""O96033""",2,4
"""O15055""",3,1
"""Q5XG87""",5,4
"""P22736""",2,8
"""Q92934""",5,17
"""Q01094""",1,4
"""Q8NBJ4""",1,4
"""Q07889""",4,5
"""Q12888""",15,17
"""O14965""",6,13
"""Q92841""",1,5
"""Q16777""",14,11
"""Q15116""",3,4
"""P06731""",2,5
"""Q9UD71""",7,6
"""Q13164""",6,39
"""O95760""",1,4
"""Q8WWA0""",1,3
"""Q9BQQ3""",3,5
"""P05106""",1,6
"""P14735""",1,4
"""P04179""",1,3
"""Q9H8M9""",1,4
