"""protein""","""pathwayCount"""
"""Q8N6Q3""",7
"""Q07283""",3
"""Q9Y592""",3
"""Q9Y5N6""",21
"""Q8N6D2""",4
"""Q14693""",14
"""Q06609""",11
"""P48668""",2
"""A2RRP1""",5
"""Q86TH1""",4
"""Q9NPA1""",7
"""O14494""",4
"""P11047""",17
"""Q9NP61""",11
"""Q8NDL9""",3
"""O60412""",5
"""O15244""",14
"""P02708""",9
"""Q9NQS7""",16
"""Q0Z7S8""",4
"""P49247""",3
"""P41181""",4
"""Q9BY76""",4
"""Q96CS4""",3
"""Q6IV72""",3
"""Q92556""",17
"""Q02252""",3
"""Q5I7T1""",4
"""Q9C0J1""",9
"""P42773""",11
"""P23083""",23
"""Q9UPW5""",3
"""O00443""",14
"""P26358""",6
"""Q96P20""",9
"""O75531""",23
"""Q9UBF8""",5
"""Q9UHL4""",3
"""Q5JZY3""",3
"""Q14241""",22
"""Q9UHA4""",22
"""Q13371""",4
"""Q15761""",7
"""P17707""",3
"""P54762""",4
"""Q86VN1""",3
"""Q969U6""",10
"""Q8NH03""",5
"""Q15833""",8
"""Q8NGD3""",5
"""Q04912""",3
"""P62256""",8
"""Q9UMW8""",9
"""Q9UN88""",5
"""O00338""",4
"""P53611""",9
"""P00491""",9
"""P61225""",3
"""C9J2P7""",4
"""Q8N135""",2
"""P01241""",4
"""Q15542""",20
"""P47736""",6
"""P30041""",6
"""Q9NX20""",6
"""P50591""",13
"""Q9H7B4""",3
"""O15130""",8
"""Q70Z35""",5
"""Q9NPG3""",5
"""Q9H8P0""",11
"""P02776""",15
"""Q96SZ4""",2
"""Q8TDW0""",2
"""Q9BXS0""",6
"""P05937""",2
"""Q92769""",42
"""P01766""",23
"""P04080""",3
"""A6NMZ7""",12
"""P07355""",7
"""Q2VPK5""",3
"""P33681""",16
"""O75936""",4
"""P15515""",3
"""P40429""",19
"""Q6W4X9""",9
"""O43570""",2
"""Q9UGM1""",7
"""Q8WU03""",7
"""Q96IG2""",7
"""P52564""",42
"""Q5SRI9""",5
"""P17812""",3
"""Q96PC2""",3
"""Q01970""",26
"""Q99593""",4
"""P16234""",15
"""P42695""",5
"""Q9BPU9""",19
"""O75015""",6
"""P26640""",4
"""Q16610""",4
"""Q9UNX3""",19
"""P78509""",3
"""P15880""",31
"""Q9UGC6""",4
"""Q13485""",24
"""Q9GZV8""",2
"""P28223""",8
"""Q9Y227""",4
"""P29083""",16
"""Q9H4B7""",9
"""Q08345""",2
"""P22760""",3
"""Q14999""",7
"""O95274""",3
"""P36404""",6
"""Q8IXQ9""",3
"""Q16619""",5
"""Q8IXF9""",3
"""Q6RW13""",4
"""O15484""",2
"""O96018""",3
"""P78344""",5
"""Q8NFJ6""",7
"""Q9Y617""",4
"""Q8N6P7""",4
"""Q5T5U3""",3
"""P49418""",3
"""Q8N5N7""",6
"""Q92187""",10
"""Q92847""",7
"""P15104""",7
"""Q9NVS2""",6
"""Q92733""",4
"""O15379""",38
"""Q86UE3""",3
"""A6NHG9""",5
"""P31483""",5
"""Q9NP55""",3
"""Q9NUZ1""",5
"""P01859""",11
"""Q9NY28""",4
"""O15259""",3
"""O75843""",5
"""Q9H0H5""",11
"""P08173""",8
"""Q7Z401""",4
"""Q9BPX6""",3
"""P35498""",7
"""Q9BWV7""",3
"""Q86YZ3""",3
"""P17032""",3
"""P22223""",4
"""Q96PL1""",3
"""P16333""",26
"""P41247""",4
"""Q96J94""",3
"""Q96C24""",4
"""Q9UPY6""",11
"""P51959""",7
"""Q7L266""",4
"""P30518""",15
"""P32929""",7
"""Q6IFN5""",5
"""Q9UP65""",9
"""P51512""",3
"""Q13698""",8
"""Q05397""",38
"""P15509""",16
"""P09619""",15
"""Q6IEV9""",5
"""Q13557""",30
"""P49757""",12
"""O95487""",14
"""Q13443""",3
"""Q16718""",5
"""Q9BUM1""",4
"""Q8IUX1""",5
"""Q9NTJ5""",6
"""Q9ULK4""",5
"""O95997""",12
"""Q3SXZ7""",3
"""Q9Y6N5""",5
"""P01568""",5
"""Q5T5B0""",3
"""Q9Y6C5""",4
"""Q8NH59""",5
"""Q8NGT9""",5
"""P20151""",5
"""Q9BYJ0""",6
"""P20337""",3
"""O14618""",3
"""Q9NZH7""",5
"""P50502""",4
"""P05121""",7
"""O15151""",24
"""Q53GI3""",3
"""P33993""",18
"""Q93009""",24
"""Q5T3U5""",2
"""Q12901""",3
"""Q13761""",18
"""Q96KQ4""",15
"""P35270""",7
"""P09001""",6
"""Q96BI1""",5
"""P61927""",19
"""P42680""",10
"""Q96DR7""",10
"""Q8TEK3""",3
"""Q5VTY9""",3
"""Q8WUK0""",5
"""Q04756""",4
"""P24046""",5
"""Q96CD2""",5
"""Q15365""",4
"""Q9UK08""",54
"""O00422""",7
"""P58180""",5
"""Q96PE3""",8
"""P46695""",5
"""Q13797""",7
"""Q9UJ98""",4
"""Q9Y233""",8
"""Q96RC9""",5
"""P48201""",7
"""Q99504""",4
"""P54855""",4
"""O95394""",6
"""P49721""",6
"""P29275""",10
"""Q9HCN6""",5
"""Q16625""",5
"""Q96A05""",11
"""Q8NH92""",5
"""Q8NGX2""",5
"""P58876""",71
"""O14791""",7
"""Q8NGB2""",5
"""Q8NGW6""",5
"""Q05209""",8
"""Q9Y248""",7
"""Q8NGL6""",5
"""O14977""",4
"""P56975""",26
"""Q92973""",6
"""Q8N1Q8""",4
"""O60229""",17
"""Q8N884""",4
"""Q30KQ8""",5
"""Q8N1F8""",3
"""A6NP11""",3
"""Q8NDX5""",22
"""P06881""",7
"""P11245""",4
"""Q9NS67""",4
"""O14686""",12
"""P50570""",30
"""Q93098""",8
"""O75354""",4
"""Q9UKA1""",12
"""P01229""",22
"""Q96JP0""",3
"""O75348""",11
"""Q9BRK3""",4
"""Q92748""",4
"""Q96KX2""",11
"""Q9NWZ8""",3
"""Q9BQS7""",5
"""Q9NX08""",3
"""P32248""",8
"""P50579""",7
"""P52798""",3
"""Q9H8Y8""",5
"""Q13683""",4
"""Q9Y446""",3
"""O75915""",4
"""Q96SN8""",16
"""O95503""",14
"""O75909""",23
"""Q13563""",4
"""P01730""",31
"""Q15293""",4
"""Q99878""",60
"""Q99572""",9
"""Q15287""",13
"""Q3MIS6""",3
"""Q6ZQN7""",7
"""Q15173""",37
"""P55017""",4
"""Q92562""",7
"""Q6ZRI8""",3
"""Q8NGT0""",5
"""Q8NH50""",5
"""Q9UHB9""",3
"""Q06828""",7
"""Q08AN1""",3
"""Q9NUQ2""",5
"""Q06033""",4
"""P49643""",25
"""Q9P2X0""",7
"""Q504Q3""",3
"""O60313""",3
"""O43502""",12
"""Q8N2Q7""",3
"""Q8N983""",6
"""P40222""",4
"""Q15848""",3
"""P98171""",3
"""O43684""",26
"""A6NK58""",3
"""P25021""",8
"""P48788""",2
"""Q9BYW1""",3
"""Q7RTV2""",4
"""Q9ULW0""",11
"""P41586""",12
"""P22748""",6
"""P42336""",98
"""Q8WVM0""",4
"""Q9H2D1""",4
"""Q96E22""",6
"""Q02543""",19
"""O95196""",8
"""Q695T7""",6
"""Q9H8G1""",3
"""O75822""",11
"""Q9UJ83""",7
"""Q12891""",5
"""O95602""",12
"""Q8WUX1""",4
"""P52756""",4
"""Q9UBC2""",8
"""Q14532""",2
"""P49841""",38
"""Q15392""",6
"""O95571""",5
"""Q14526""",5
"""P82921""",6
"""Q15386""",4
"""Q02246""",6
"""Q7L1S5""",5
"""P61006""",19
"""Q8IZD6""",5
"""Q6Q0C0""",4
"""Q9UPV9""",4
"""O00629""",5
"""P07307""",3
"""Q8N9F0""",3
"""Q9UIB8""",2
"""P52657""",20
"""Q6NZY7""",3
"""Q9Y3P9""",4
"""Q9NQ69""",4
"""O60220""",2
"""Q9Y305""",4
"""Q9NW15""",3
"""P86791""",4
"""P49736""",18
"""O95466""",4
"""O43897""",7
"""P23510""",4
"""Q8N0Y3""",5
"""Q86XP0""",11
"""Q8NGY7""",5
"""P30260""",37
"""Q9BUK0""",2
"""Q92478""",3
"""Q8NGN7""",5
"""P21281""",11
"""Q8NGA6""",5
"""Q8NGC7""",5
"""P0CF74""",23
"""P78536""",32
"""P00797""",3
"""P30305""",10
"""Q96N22""",3
"""Q9H4P4""",9
"""P11926""",4
"""O75525""",4
"""Q9BV79""",6
"""Q96I27""",3
"""Q9BRV3""",3
"""P25791""",5
"""Q92925""",8
"""Q96NL3""",3
"""Q8TAT6""",4
"""Q01085""",5
"""Q9H9Q4""",3
"""P51449""",4
"""Q9H9P8""",4
"""Q96MG7""",5
"""Q8WWX8""",4
"""O94810""",8
"""Q8WWC4""",3
"""O76094""",3
"""Q14739""",4
"""O60610""",10
