"""protein""","""reactionCount"""
"""Q8N6Q3""",4
"""Q07283""",4
"""Q9Y592""",7
"""Q9Y5N6""",16
"""Q8N6D2""",3
"""Q14693""",5
"""Q06609""",13
"""P48668""",3
"""A2RRP1""",1
"""Q86TH1""",2
"""Q9NPA1""",2
"""O14494""",2
"""P11047""",18
"""Q9NP61""",4
"""Q8NDL9""",1
"""O60412""",1
"""P02708""",4
"""O15244""",7
"""Q9NQS7""",13
"""Q0Z7S8""",1
"""P49247""",2
"""P41181""",4
"""Q9BY76""",2
"""Q6IV72""",1
"""Q96CS4""",1
"""Q02252""",1
"""Q92556""",7
"""Q5I7T1""",1
"""P42773""",2
"""Q9C0J1""",2
"""P23083""",44
"""Q9UPW5""",1
"""O00443""",13
"""P26358""",5
"""Q96P20""",3
"""O75531""",16
"""Q9UBF8""",2
"""Q9UHL4""",1
"""Q5JZY3""",2
"""Q14241""",28
"""Q9UHA4""",23
"""Q13371""",6
"""Q15761""",4
"""P17707""",1
"""P54762""",13
"""Q86VN1""",2
"""Q969U6""",10
"""Q8NH03""",1
"""Q15833""",2
"""Q8NGD3""",1
"""Q04912""",3
"""P62256""",4
"""Q9UMW8""",2
"""O00338""",3
"""Q9UN88""",2
"""P53611""",7
"""P00491""",6
"""P61225""",2
"""C9J2P7""",2
"""Q8N135""",1
"""P01241""",24
"""Q15542""",27
"""P47736""",2
"""P30041""",2
"""Q9NX20""",10
"""P50591""",10
"""Q9H7B4""",4
"""O15130""",4
"""Q70Z35""",1
"""Q9NPG3""",2
"""Q9H8P0""",2
"""P02776""",6
"""Q96SZ4""",1
"""Q8TDW0""",1
"""Q9BXS0""",13
"""P05937""",1
"""Q92769""",14
"""P01766""",44
"""P04080""",3
"""A6NMZ7""",17
"""P07355""",3
"""Q2VPK5""",1
"""P33681""",15
"""O75936""",1
"""P15515""",2
"""P40429""",22
"""Q6W4X9""",14
"""O43570""",2
"""Q8WU03""",2
"""Q9UGM1""",2
"""Q96IG2""",9
"""P52564""",9
"""Q5SRI9""",1
"""P17812""",1
"""Q96PC2""",5
"""Q01970""",11
"""Q99593""",1
"""P42695""",6
"""P16234""",21
"""Q9BPU9""",16
"""O75015""",2
"""P26640""",1
"""Q16610""",1
"""Q9UNX3""",20
"""P78509""",4
"""P15880""",29
"""Q9UGC6""",1
"""Q13485""",39
"""Q9GZV8""",1
"""P28223""",4
"""Q9Y227""",2
"""P29083""",25
"""Q9H4B7""",12
"""Q08345""",1
"""P22760""",1
"""Q14999""",5
"""O95274""",1
"""P36404""",5
"""Q8IXQ9""",1
"""Q16619""",2
"""Q8IXF9""",2
"""Q6RW13""",5
"""O15484""",1
"""O96018""",1
"""P78344""",1
"""Q8NFJ6""",4
"""Q9Y617""",1
"""Q8N6P7""",4
"""Q5T5U3""",1
"""P49418""",10
"""Q8N5N7""",10
"""Q92187""",2
"""Q92847""",4
"""P15104""",1
"""Q9NVS2""",12
"""Q92733""",5
"""O15379""",17
"""Q86UE3""",1
"""A6NHG9""",1
"""P31483""",1
"""Q9NP55""",1
"""Q9NUZ1""",1
"""P01859""",22
"""Q9NY28""",1
"""O15259""",3
"""O75843""",1
"""Q9H0H5""",5
"""P08173""",4
"""Q7Z401""",1
"""Q9BPX6""",2
"""P35498""",2
"""Q9BWV7""",1
"""Q86YZ3""",1
"""P17032""",1
"""P22223""",2
"""Q96PL1""",1
"""P16333""",30
"""P41247""",2
"""Q96J94""",2
"""Q96C24""",1
"""P51959""",2
"""Q9UPY6""",6
"""Q7L266""",1
"""P30518""",22
"""P32929""",8
"""Q6IFN5""",1
"""Q9UP65""",8
"""P51512""",3
"""Q05397""",55
"""Q13698""",2
"""P15509""",22
"""P09619""",22
"""Q6IEV9""",1
"""P49757""",7
"""Q13557""",16
"""O95487""",18
