Type,Sample,Size,ms,Repetition
UNIPROT,0,1,2166.983,1
UNIPROT,0,1,1197.578,2
UNIPROT,0,1,1536.749,3
UNIPROT,0,1,855.332,4
UNIPROT,0,1,1248.592,5
UNIPROT,0,2000,1117.599,1
UNIPROT,0,2000,1108.153,2
UNIPROT,0,2000,2702.523,3
UNIPROT,0,2000,1032.815,4
UNIPROT,0,2000,934.987,5
UNIPROT,0,4000,931.650,1
UNIPROT,0,4000,874.978,2
UNIPROT,0,4000,907.543,3
UNIPROT,0,4000,844.642,4
UNIPROT,0,4000,934.940,5
UNIPROT,0,6000,1007.491,1
UNIPROT,0,6000,981.155,2
UNIPROT,0,6000,921.976,3
UNIPROT,0,6000,937.007,4
UNIPROT,0,6000,977.997,5
UNIPROT,0,8000,1091.406,1
UNIPROT,0,8000,979.653,2
UNIPROT,0,8000,1084.914,3
UNIPROT,0,8000,1026.027,4
UNIPROT,0,8000,1155.208,5
UNIPROT,0,10000,1088.866,1
UNIPROT,0,10000,1050.286,2
UNIPROT,0,10000,1128.767,3
UNIPROT,0,10000,1073.782,4
UNIPROT,0,10000,1050.698,5
UNIPROT,0,12000,1114.806,1
UNIPROT,0,12000,1262.993,2
UNIPROT,0,12000,1106.860,3
UNIPROT,0,12000,1172.417,4
UNIPROT,0,12000,1077.115,5
UNIPROT,0,14000,1221.242,1
UNIPROT,0,14000,1175.871,2
UNIPROT,0,14000,1186.065,3
UNIPROT,0,14000,1149.955,4
UNIPROT,0,14000,1210.475,5
UNIPROT,0,16000,1213.483,1
UNIPROT,0,16000,1273.747,2
UNIPROT,0,16000,1216.619,3
UNIPROT,0,16000,1316.307,4
UNIPROT,0,16000,1216.372,5
UNIPROT,0,18000,1397.028,1
UNIPROT,0,18000,1289.994,2
UNIPROT,0,18000,1357.579,3
UNIPROT,0,18000,1292.561,4
UNIPROT,0,18000,1289.641,5
UNIPROT,0,20000,1342.644,1
UNIPROT,0,20000,1410.463,2
UNIPROT,0,20000,1336.768,3
UNIPROT,0,20000,1347.543,4
UNIPROT,0,20000,1485.098,5
UNIPROT,1,1,669.289,1
UNIPROT,1,1,675.961,2
UNIPROT,1,1,669.213,3
UNIPROT,1,1,738.490,4
UNIPROT,1,1,803.567,5
UNIPROT,1,2000,808.794,1
UNIPROT,1,2000,759.556,2
UNIPROT,1,2000,829.707,3
UNIPROT,1,2000,757.562,4
UNIPROT,1,2000,754.436,5
UNIPROT,1,4000,871.580,1
UNIPROT,1,4000,827.099,2
UNIPROT,1,4000,823.136,3
UNIPROT,1,4000,813.674,4
UNIPROT,1,4000,887.773,5
UNIPROT,1,6000,908.569,1
UNIPROT,1,6000,881.514,2
UNIPROT,1,6000,941.748,3
UNIPROT,1,6000,882.561,4
UNIPROT,1,6000,889.248,5
UNIPROT,1,8000,1008.883,1
UNIPROT,1,8000,956.880,2
UNIPROT,1,8000,947.842,3
UNIPROT,1,8000,951.089,4
UNIPROT,1,8000,1004.241,5
UNIPROT,1,10000,1008.792,1
UNIPROT,1,10000,1011.614,2
UNIPROT,1,10000,1047.042,3
UNIPROT,1,10000,1032.048,4
UNIPROT,1,10000,1007.762,5
UNIPROT,1,12000,1199.188,1
UNIPROT,1,12000,1106.120,2
UNIPROT,1,12000,1078.963,3
UNIPROT,1,12000,1152.723,4
UNIPROT,1,12000,1074.981,5
UNIPROT,1,14000,1132.688,1
UNIPROT,1,14000,1185.740,2
UNIPROT,1,14000,1131.348,3
UNIPROT,1,14000,1136.628,4
UNIPROT,1,14000,1136.152,5
UNIPROT,1,16000,1198.793,1
UNIPROT,1,16000,1199.036,2
UNIPROT,1,16000,1272.331,3
UNIPROT,1,16000,1212.499,4
UNIPROT,1,16000,1206.268,5
UNIPROT,1,18000,1299.955,1
UNIPROT,1,18000,1286.608,2
UNIPROT,1,18000,1283.333,3
UNIPROT,1,18000,1413.019,4
UNIPROT,1,18000,1290.408,5
UNIPROT,1,20000,1372.888,1
UNIPROT,1,20000,1341.055,2
UNIPROT,1,20000,1352.435,3
UNIPROT,1,20000,1424.281,4
UNIPROT,1,20000,1346.157,5
UNIPROT,2,1,675.169,1
UNIPROT,2,1,672.995,2
UNIPROT,2,1,668.413,3
UNIPROT,2,1,727.435,4
UNIPROT,2,1,665.573,5
UNIPROT,2,2000,747.858,1
UNIPROT,2,2000,738.961,2
UNIPROT,2,2000,743.156,3
UNIPROT,2,2000,799.570,4
UNIPROT,2,2000,749.052,5
UNIPROT,2,4000,826.540,1
UNIPROT,2,4000,815.304,2
UNIPROT,2,4000,814.948,3
UNIPROT,2,4000,882.600,4
UNIPROT,2,4000,809.630,5
UNIPROT,2,6000,876.282,1
UNIPROT,2,6000,881.922,2
UNIPROT,2,6000,961.198,3
UNIPROT,2,6000,889.063,4
UNIPROT,2,6000,866.795,5
UNIPROT,2,8000,966.783,1
UNIPROT,2,8000,1024.182,2
UNIPROT,2,8000,937.685,3
UNIPROT,2,8000,947.997,4
UNIPROT,2,8000,946.583,5
UNIPROT,2,10000,1018.908,1
UNIPROT,2,10000,1016.727,2
UNIPROT,2,10000,1007.096,3
UNIPROT,2,10000,1004.095,4
UNIPROT,2,10000,1117.352,5
UNIPROT,2,12000,1090.282,1
UNIPROT,2,12000,1075.015,2
UNIPROT,2,12000,1119.739,3
UNIPROT,2,12000,1075.690,4
UNIPROT,2,12000,1086.843,5
