Pathway StId	Pathway Name	# Entities Found	# Entities Total	Entities Ratio	Entities P-Value	Significant	Entities FDR	# Reactions Found	# Reactions Total	Reactions Ratio	Entities Found	Reactions Found
R-HSA-198753	"ERK/MAPK targets"	1	22	0.045454545454545456	0.3585834767133742	No	0.12454297909159151	1	32	0.03125	Q14738	R-HSA-199959
R-HSA-1236394	"Signaling by ERBB4"	1	39	0.02564102564102564	0.5451919144669082	No	0.15621845241455637	2	46	0.043478260869565216	P46934	R-HSA-1973956,R-HSA-1977296
R-HSA-376176	"Signaling by ROBO receptors"	4	65	0.06153846153846154	0.04362135299594705	Yes	0.0457717013830712	9	79	0.11392405063291139	P16333,P22694,P50552,Q13459	R-HSA-376140,R-HSA-428511,R-HSA-428515,R-HSA-428531,R-HSA-428534,R-HSA-428535,R-HSA-8985591,R-HSA-8985594,R-HSA-9010641
R-HSA-380320	"Recruitment of NuMA to mitotic centrosomes"	4	79	0.05063291139240506	0.07709601705724833	No	0.061102694369840435	2	79	0.02531645569620253	P07900,Q14008,Q8TEP8,Q9NXR1	R-HSA-380316,R-HSA-380508
R-HSA-5625886	"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3"	1	34	0.029411764705882353	0.4967668872178882	No	0.1504436304785881	10	46	0.21739130434782608	Q16512	R-HSA-5625717,R-HSA-5625738,R-HSA-5625745,R-HSA-5625774,R-HSA-5625784,R-HSA-5625796,R-HSA-5625797,R-HSA-5625848,R-HSA-5625849,R-HSA-5625870
R-HSA-2142753	"Arachidonic acid metabolism"	1	59	0.01694915254237288	0.6967163814213606	No	0.18148730914647332	1	62	0.016129032258064516	P47712	R-HSA-111883
R-HSA-177929	"Signaling by EGFR"	5	43	0.11627906976744186	0.001933588465474867	Yes	0.0054359373840708524	12	58	0.20689655172413793	P12931,P42566,Q05209,Q99961,Q9UBC2	R-HSA-177923,R-HSA-177937,R-HSA-182986,R-HSA-182990,R-HSA-182994,R-HSA-183002,R-HSA-183072,R-HSA-8864029,R-HSA-8867041,R-HSA-8867044,R-HSA-8867047,R-HSA-8951490
R-HSA-429914	"Deadenylation-dependent mRNA decay"	4	56	0.07142857142857142	0.02755315223813859	Yes	0.03601245336388289	5	56	0.08928571428571429	Q04637,Q58A45,Q5VYS8,Q6P2E9	R-HSA-429860,R-HSA-429955,R-HSA-429992,R-HSA-430021,R-HSA-8941312
R-HSA-5684996	"MAPK1/MAPK3 signaling"	16	200	0.08	3.858221591324096E-6	Yes	3.1937500950405015E-5	24	249	0.0963855421686747	O43561,P02671,P02751,P06241,P12931,P18206,P27448,P49407,P52333,Q01082,Q02750,Q14738,Q8IVT5,Q9Y490,Q9Y4G8,Q9Y4H2	R-HSA-109857,R-HSA-109860,R-HSA-112342,R-HSA-5672948,R-HSA-5672950,R-HSA-5672954,R-HSA-5672957,R-HSA-5672958,R-HSA-5672961,R-HSA-5672965,R-HSA-5672966,R-HSA-5672969,R-HSA-5672972,R-HSA-5672973,R-HSA-5672978,R-HSA-5672980,R-HSA-5674019,R-HSA-5674132,R-HSA-5674366,R-HSA-5674373,R-HSA-5674496,R-HSA-5675417,R-HSA-5675431,R-HSA-5675433
R-HSA-428930	"Thromboxane signalling through TP receptor"	1	23	0.043478260869565216	0.37141509433406017	No	0.12634897044697482	7	23	0.30434782608695654	P21731	R-HSA-391939,R-HSA-428749,R-HSA-428750,R-HSA-428752,R-HSA-428909,R-HSA-428917,R-HSA-428918
R-HSA-937061	"TRIF(TICAM1)-mediated TLR4 signaling "	3	99	0.030303030303030304	0.3222882054163143	No	0.11571311471573695	8	144	0.05555555555555555	Q02750,Q14738,Q8NFZ5	R-HSA-199959,R-HSA-451634,R-HSA-451649,R-HSA-5684248,R-HSA-5684250,R-HSA-5684261,R-HSA-5684267,R-HSA-5684275
R-HSA-446388	"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components"	1	8	0.125	0.14902460205048162	No	0.08163480038794765	1	8	0.125	Q15052	R-HSA-432946
R-HSA-8866376	"Reelin signalling pathway"	1	5	0.2	0.09592485262182104	No	0.06741888226722328	1	6	0.16666666666666666	P06241	R-HSA-8855237
R-HSA-5686938	"Regulation of TLR by endogenous ligand"	2	16	0.125	0.041969785090825384	Yes	0.04498919409016534	2	16	0.125	P02671,P04114	R-HSA-8869667,R-HSA-8870678
