id1	id2	type	container_id	role1	role2
P04114;	P52594;	Reaction	R-HSA-8868071	output	output
P04114;	P52594;	Reaction	R-HSA-8868071	output	input
P04114;	Q99961;	Reaction	R-HSA-8868071	output	output
P04114;	Q99961;	Reaction	R-HSA-8868071	output	input
P04114;	Q9UBC2;	Reaction	R-HSA-8868071	output	output
P04114;	Q9UBC2;	Reaction	R-HSA-8868071	output	input
P04114;	P49407;	Reaction	R-HSA-8868071	output	output
P04114;	P49407;	Reaction	R-HSA-8868071	output	input
P04114;	Q8WXE9;	Reaction	R-HSA-8868071	output	output
P04114;	Q8WXE9;	Reaction	R-HSA-8868071	output	input
P04114;	Q8NFH8;	Reaction	R-HSA-8868071	output	output
P04114;	Q8NFH8;	Reaction	R-HSA-8868071	output	input
P04114;	P42566;	Reaction	R-HSA-8868071	output	output
P04114;	P42566;	Reaction	R-HSA-8868071	output	input
P04114;	P52594;	Reaction	R-HSA-8868071	input	output
P04114;	P52594;	Reaction	R-HSA-8868071	input	input
P04114;	Q99961;	Reaction	R-HSA-8868071	input	output
P04114;	Q99961;	Reaction	R-HSA-8868071	input	input
P04114;	Q9UBC2;	Reaction	R-HSA-8868071	input	output
P04114;	Q9UBC2;	Reaction	R-HSA-8868071	input	input
P04114;	P49407;	Reaction	R-HSA-8868071	input	output
P04114;	P49407;	Reaction	R-HSA-8868071	input	input
P04114;	Q8WXE9;	Reaction	R-HSA-8868071	input	output
P04114;	Q8WXE9;	Reaction	R-HSA-8868071	input	input
P04114;	Q8NFH8;	Reaction	R-HSA-8868071	input	output
P04114;	Q8NFH8;	Reaction	R-HSA-8868071	input	input
P04114;	P42566;	Reaction	R-HSA-8868071	input	output
P04114;	P42566;	Reaction	R-HSA-8868071	input	input
P52594;	Q99961;	Reaction	R-HSA-8868071	output	output
P52594;	Q99961;	Reaction	R-HSA-8868071	output	input
P52594;	Q9UBC2;	Reaction	R-HSA-8868071	output	output
P52594;	Q9UBC2;	Reaction	R-HSA-8868071	output	input
P52594;	Q8WXE9;	Reaction	R-HSA-8868071	output	output
P52594;	Q8WXE9;	Reaction	R-HSA-8868071	output	input
P52594;	Q8NFH8;	Reaction	R-HSA-8868071	output	output
P52594;	Q8NFH8;	Reaction	R-HSA-8868071	output	input
P52594;	Q99961;	Reaction	R-HSA-8868071	input	output
P52594;	Q99961;	Reaction	R-HSA-8868071	input	input
P52594;	Q9UBC2;	Reaction	R-HSA-8868071	input	output
P52594;	Q9UBC2;	Reaction	R-HSA-8868071	input	input
P52594;	Q8WXE9;	Reaction	R-HSA-8868071	input	output
P52594;	Q8WXE9;	Reaction	R-HSA-8868071	input	input
P52594;	Q8NFH8;	Reaction	R-HSA-8868071	input	output
P52594;	Q8NFH8;	Reaction	R-HSA-8868071	input	input
Q99961;	Q9UBC2;	Reaction	R-HSA-8868071	output	output
Q99961;	Q9UBC2;	Reaction	R-HSA-8868071	output	input
Q99961;	Q9UBC2;	Reaction	R-HSA-8868071	input	output
Q99961;	Q9UBC2;	Reaction	R-HSA-8868071	input	input
P49407;	P52594;	Reaction	R-HSA-8868071	output	output
P49407;	P52594;	Reaction	R-HSA-8868071	output	input
P49407;	Q99961;	Reaction	R-HSA-8868071	output	output
P49407;	Q99961;	Reaction	R-HSA-8868071	output	input
P49407;	Q9UBC2;	Reaction	R-HSA-8868071	output	output
P49407;	Q9UBC2;	Reaction	R-HSA-8868071	output	input
P49407;	Q8WXE9;	Reaction	R-HSA-8868071	output	output
P49407;	Q8WXE9;	Reaction	R-HSA-8868071	output	input
P49407;	Q8NFH8;	Reaction	R-HSA-8868071	output	output
P49407;	Q8NFH8;	Reaction	R-HSA-8868071	output	input
P49407;	P52594;	Reaction	R-HSA-8868071	input	output
P49407;	P52594;	Reaction	R-HSA-8868071	input	input
P49407;	Q99961;	Reaction	R-HSA-8868071	input	output
P49407;	Q99961;	Reaction	R-HSA-8868071	input	input
P49407;	Q9UBC2;	Reaction	R-HSA-8868071	input	output
P49407;	Q9UBC2;	Reaction	R-HSA-8868071	input	input
P49407;	Q8WXE9;	Reaction	R-HSA-8868071	input	output
P49407;	Q8WXE9;	Reaction	R-HSA-8868071	input	input
P49407;	Q8NFH8;	Reaction	R-HSA-8868071	input	output
P49407;	Q8NFH8;	Reaction	R-HSA-8868071	input	input
Q8WXE9;	Q99961;	Reaction	R-HSA-8868071	output	output
Q8WXE9;	Q99961;	Reaction	R-HSA-8868071	output	input
