id1	id2	type	container_id	role1	role2
P52333;00048:null	P62993;	Reaction	R-HSA-8983394	output	output
P52333;00048:null	P62993;	Reaction	R-HSA-8983394	output	input
P52333;00048:null	Q13261;	Reaction	R-HSA-8983394	output	output
P52333;00048:null	Q13261;	Reaction	R-HSA-8983394	output	input
P52333;00048:null	P62993;	Reaction	R-HSA-8983394	input	output
P52333;00048:null	P62993;	Reaction	R-HSA-8983394	input	input
P52333;00048:null	Q13261;	Reaction	R-HSA-8983394	input	output
P52333;00048:null	Q13261;	Reaction	R-HSA-8983394	input	input
P29353;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	output
P29353;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	input
P29353;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	output
P29353;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	input
P14784;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	output
P14784;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	input
P14784;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	output
P14784;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	input
P31785;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	output
P31785;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	input
P31785;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	output
P31785;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	input
P23458;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	output
P23458;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	output	input
P23458;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	output
P23458;00048:null	P52333;00048:null	Reaction	R-HSA-8983394	input	input
P40933;	P52333;00048:null	Reaction	R-HSA-8983394	output	output
P40933;	P52333;00048:null	Reaction	R-HSA-8983394	output	input
P40933;	P52333;00048:null	Reaction	R-HSA-8983394	input	output
P40933;	P52333;00048:null	Reaction	R-HSA-8983394	input	input
P31785;00048:null	P52333;00048:null	Complex	R-HSA-8983118	component	component
P23458;00048:null	P52333;00048:null	Complex	R-HSA-8983118	component	component
P14784;00048:null	P52333;00048:null	Complex	R-HSA-8983118	component	component
P40933;	P52333;00048:null	Complex	R-HSA-8983118	component	component
P52333;00048:null	Q13261;	Complex	R-HSA-8983118	component	component
P51692;	P52333;00048:null	Complex	R-HSA-8983118	component	component
P42229;	P52333;00048:null	Complex	R-HSA-8983118	component	component
P40763;	P52333;00048:null	Complex	R-HSA-8983118	component	component
P31785;00048:null	P52333;00048:null	Complex	R-HSA-9009701	component	component
P23458;00048:null	P52333;00048:null	Complex	R-HSA-9009701	component	component
P14784;00048:null	P52333;00048:null	Complex	R-HSA-9009701	component	component
P40933;	P52333;00048:null	Complex	R-HSA-9009701	component	component
P52333;00048:null	Q13261;	Complex	R-HSA-9009701	component	component
P31785;00048:null	P52333;00048:null	Complex	R-HSA-8983137	component	component
P23458;00048:null	P52333;00048:null	Complex	R-HSA-8983137	component	component
P14784;00048:null	P52333;00048:null	Complex	R-HSA-8983137	component	component
P40933;	P52333;00048:null	Complex	R-HSA-8983137	component	component
P52333;00048:null	Q13261;	Complex	R-HSA-8983137	component	component
P40763;00048:null	P52333;00048:null	Complex	R-HSA-8983137	component	component
P42229;00696:null	P52333;00048:null	Complex	R-HSA-8983137	component	component
P51692;00696:null	P52333;00048:null	Complex	R-HSA-8983137	component	component
P29353;	P52333;00048:null	Complex	R-HSA-8983310	component	component
P31785;00048:null	P52333;00048:null	Complex	R-HSA-8983310	component	component
P23458;00048:null	P52333;00048:null	Complex	R-HSA-8983310	component	component
P14784;00048:null	P52333;00048:null	Complex	R-HSA-8983310	component	component
P40933;	P52333;00048:null	Complex	R-HSA-8983310	component	component
