id1	id2	type	container_id	role1	role2
P04114;00696:null	P19823;00696:null	Reaction	R-HSA-8952289	output	output
P04114;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P19823;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P02768;00696:null	P04114;00696:null	Reaction	R-HSA-8952289	output	output
P02768;00696:null	P19823;00696:null	Reaction	R-HSA-8952289	output	output
P02768;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P02765;00696:null	P04114;00696:null	Reaction	R-HSA-8952289	output	output
P02765;00696:null	P19823;00696:null	Reaction	R-HSA-8952289	output	output
P02765;00696:null	P02768;00696:null	Reaction	R-HSA-8952289	output	output
P02765;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P02751;00696:null	P04114;00696:null	Reaction	R-HSA-8952289	output	output
P02751;00696:null	P19823;00696:null	Reaction	R-HSA-8952289	output	output
P02751;00696:null	P02768;00696:null	Reaction	R-HSA-8952289	output	output
P02751;00696:null	P02765;00696:null	Reaction	R-HSA-8952289	output	output
P02751;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P02671;00696:null	P04114;00696:null	Reaction	R-HSA-8952289	output	output
P02671;00696:null	P19823;00696:null	Reaction	R-HSA-8952289	output	output
P02671;00696:null	P02768;00696:null	Reaction	R-HSA-8952289	output	output
P02671;00696:null	P02765;00696:null	Reaction	R-HSA-8952289	output	output
P02671;00696:null	P02751;00696:null	Reaction	R-HSA-8952289	output	output
P02671;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	P04114;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	P19823;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	P02768;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	P02765;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	P02751;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	P02671;00696:null	Reaction	R-HSA-8952289	output	output
P01042;00696:null	Q15084;00696:null	Reaction	R-HSA-8952289	output	output
P02768;00696:null	P04114;00696:null	Complex	R-HSA-8952335	component	component
P02768;00696:null	P19823;00696:null	Complex	R-HSA-8952335	component	component
P02768;00696:null	Q15084;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	P02768;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	P02751;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	P04114;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	P19823;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	P02765;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	Q15084;00696:null	Complex	R-HSA-8952335	component	component
P01042;00696:null	P02671;00696:null	Complex	R-HSA-8952335	component	component
P02751;00696:null	P02768;00696:null	Complex	R-HSA-8952335	component	component
