"""protein""","""ptms""","""reactionCount"""
"""A0A075B6P5""",[],43
"""A0A075B6S6""",[],43
"""A0A0C4DH25""",[],43
"""A0A0C4DH73""",[],43
"""A0A183""",[],2
"""A0AVF1""",[],5
"""A0AVI4""",[],1
"""A0AVK6""",[],3
"""A0AVT1""",[],6
"""A0FGR8""",[],1
"""A0FGR9""",[],1
"""A0JLT2""",[],1
"""A0M8Q6""",[],43
"""A0MZ66""",[],1
"""A0PJK1""",[],1
"""A1A4S6""",[],3
"""A1A5B4""",[],1
"""A1IGU5""",[],3
"""A1L3X0""",[],2
"""A1L4H1""",[],1
"""A2KUC3""",[],44
"""A2NJV5""",[],43
"""A2NXD2""",[],43
"""A2RRD8""",[],1
"""A2RRP1""",[],1
"""A2RU49""",[],1
"""A2RUC4""",[],1
"""A2RUS2""",[],2
"""A2RUS2""","[""472:00046"",""490:00046""]",2
"""A2VDF0""",[],1
"""A2VEC9""",[],1
"""A2VEC9""","[""null:00812""]",2
"""A3KFT3""",[],1
"""A4D1E1""",[],1
"""A4D1S5""","[""215:00113"",""217:00113""]",1
"""A4D1S5""",[],2
"""A4D2G3""",[],1
"""A4GXA9""",[],5
"""A5D6W6""",[],1
"""A5D8V6""",[],5
"""A5LHX3""",[],4
"""A5PL33""",[],1
"""A5PLK6""",[],3
"""A5PLN9""",[],1
"""A5X5Y0""",[],1
"""A5YKK6""",[],2
"""A5YM69""",[],3
"""A5YM72""",[],1
"""A6H8Y1""",[],15
"""A6NCV1""",[],1
"""A6NCW0""",[],2
"""A6NCW7""",[],2
"""A6ND01""","[""228:00105""]",1
"""A6ND48""",[],1
"""A6NDH6""",[],1
"""A6NDL8""",[],1
"""A6NDX5""",[],1
"""A6NET4""",[],1
"""A6NF89""",[],1
"""A6NFC9""",[],1
"""A6NFH5""",[],1
"""A6NGB9""",[],5
"""A6NGU5""",[],2
"""A6NGY5""",[],1
"""A6NH00""",[],1
"""A6NH21""",[],1
"""A6NHA9""",[],1
"""A6NHC0""",[],1
"""A6NHG9""",[],1
"""A6NHJ4""",[],1
"""A6NHL2""",[],8
"""A6NI28""",[],1
"""A6NI73""",[],1
"""A6NIH7""",[],7
"""A6NIJ9""",[],1
"""A6NIX2""",[],5
"""A6NJZ3""",[],1
"""A6NK53""",[],1
"""A6NK58""",[],1
"""A6NK59""",[],8
"""A6NKK0""",[],1
"""A6NL08""",[],1
"""A6NL26""",[],1
"""A6NLF2""",[],28
"""A6NM03""",[],1
"""A6NM76""",[],1
"""A6NMB1""",[],1
"""A6NMS3""",[],1
"""A6NMU1""",[],1
"""A6NMZ5""",[],1
"""A6NMZ7""","[""null:00037"",""null:00038"",""null:00039""]",12
"""A6NMZ7""","[""null:00038"",""null:00039"",""null:01914""]",10
"""A6NMZ7""","[""null:00037"",""null:00039""]",12
"""A6NMZ7""","[""null:00038"",""null:00039"",""null:00162""]",8
"""A6NMZ7""","[""null:00037""]",12
"""A6NMZ7""","[""null:00039"",""null:00162""]",8
"""A6NMZ7""","[""null:01914""]",10
"""A6NMZ7""","[""null:00039"",""null:01914""]",10
"""A6NMZ7""","[""null:00162""]",8
"""A6NMZ7""","[""null:00039""]",11
"""A6NMZ7""",[],10
"""A6NMZ7""","[""null:00038"",""null:00039""]",9
"""A6NN14""",[],1
"""A6NND4""",[],1
"""A6NNF4""",[],1
"""A6NNM8""",[],1
"""A6NNZ2""",[],2
"""A6NP11""",[],1
"""A6PVC2""",[],1
"""A7KAX9""",[],1
"""A7MBM2""",[],2
"""A8CG34""",[],35
"""A8K0R7""",[],1
"""A8K4G0""",[],2
"""A8K7I4""",[],4
"""A8K855""",[],1
"""A8K8P3""",[],22
"""A8K8V0""",[],1
"""A8MPY1""",[],1
"""A8MQ27""",[],6
"""A8MT69""",[],10
"""A8MTJ3""",[],24
"""A8MTY0""",[],1
"""A8MTZ0""",[],4
"""A8MUK1""",[],2
"""A8MUV8""",[],1
"""A8MUZ8""",[],1
"""A8MVS1""",[],1
"""A8MVX0""",[],3
"""A8MWA4""",[],1
"""A8MX76""",[],1
"""A8MXU0""",[],1
"""A8MXV4""",[],3
"""A8MXY4""",[],1
"""A8MYU2""",[],1
"""A8TX70""","[""null:00037"",""null:00039""]",12
"""A8TX70""","[""null:00037""]",12
"""A8TX70""","[""null:00038"",""null:00039"",""null:00162""]",8
"""A8TX70""","[""null:01914""]",10
"""A8TX70""","[""null:00039"",""null:00162""]",8
"""A8TX70""","[""null:00039"",""null:01914""]",10
"""A8TX70""","[""null:00162""]",8
"""A8TX70""","[""null:00039""]",11
"""A8TX70""",[],10
"""A8TX70""","[""null:00038"",""null:00039""]",9
"""A8TX70""","[""null:00037"",""null:00038"",""null:00039""]",12
"""A8TX70""","[""null:00038"",""null:00039"",""null:01914""]",10
"""A9QM74""",[],1
"""A9YTQ3""",[],1
"""B0YJ81""",[],1
"""B2RTY4""",[],1
"""B4DX44""",[],1
"""B4DXR9""",[],1
"""B6A8C7""",[],2
"""B7ZC32""",[],3
"""C9J2P7""",[],2
"""C9JJH3""",[],2
"""C9JLJ4""",[],2
"""C9JPN9""",[],2
"""C9JR72""",[],6
"""C9JRZ8""",[],1
"""C9JVI0""",[],2
"""D6R901""",[],2
"""D6R9N7""",[],2
"""D6RA61""",[],2
"""D6RBQ6""",[],2
"""D6RCP7""",[],2
"""D6RJB6""",[],2
"""O00115""",[],4
"""O00116""",[],6
"""O00139""",[],17
"""O00141""",[],2
"""O00141""","[""422:00046""]",2
"""O00141""","[""422:00046"",""256:00047""]",2
"""O00142""",[],1
"""O00144""",[],1
"""O00148""",[],4
"""O00154""",[],1
"""O00155""",[],3
"""O00159""",[],1
"""O00159-3""",[],3
"""O00161""",[],6
"""O00161""","[""95:00046""]",1
"""O00167""","[""null:00696""]",2
"""O00167""",[],1
"""O00168""",[],1
"""O00170""",[],2
"""O00180""",[],2
"""O00182""",[],1
"""O00186""","[""null:00696""]",1
"""O00186""",[],1
"""O00187-1""",[],8
"""O00189""",[],2
"""O00194""",[],3
"""O00194""","[""216:00113"",""218:00113""]",2
"""O00203""","[""445:00046"",""602:00046"",""729:00046"",""599:00047""]",5
"""O00203""","[""445:00046"",""729:00046""]",1
"""O00203""",[],4
"""O00204-1""",[],4
"""O00204-2""",[],3
"""O00206""",[],19
"""O00206""","[""526:00160"",""575:00160""]",25
"""O00212""",[],7
"""O00213""",[],1
"""O00217""",[],9
"""O00220""",[],11
"""O00221""","[""157:00046"",""161:00046""]",2
"""O00221""",[],1
"""O00222""",[],4
"""O00230""",[],4
"""O00231""",[],6
"""O00232""",[],6
"""O00233""",[],4
"""O00237""",[],2
"""O00238""",[],3
"""O00238""","[""null:00046""]",6
"""O00241""",[],2
"""O00244""",[],1
"""O00254""",[],11
"""O00255""","[""null:00696""]",1
"""O00255""",[],5
"""O00257""","[""494:01149""]",1
"""O00257""",[],8
"""O00264""",[],1
"""O00267""","[""null:00696""]",49
"""O00268""",[],22
"""O00270""",[],4
"""O00273""",[],6
"""O00291""",[],9
"""O00292""",[],4
"""O00300""",[],1
"""O00303""",[],8
"""O00305""",[],3
"""O00308""",[],3
"""O00311""",[],8
"""O00327""",[],2
"""O00327""","[""null:00046""]",16
"""O00329""",[],11
"""O00330""",[],4
"""O00337""",[],1
"""O00338""",[],3
"""O00341""",[],2
"""O00391""",[],4
"""O00391""","[""null:00696""]",1
"""O00398""",[],4
"""O00399""",[],3
"""O00400""",[],1
"""O00401""",[],19
"""O00401""","[""256:00048""]",4
"""O00408""",[],2
"""O00410""",[],1
"""O00411""",[],1
"""O00418""","[""366:00046""]",1
"""O00418""",[],1
"""O00421""",[],1
"""O00422""",[],3
"""O00425""",[],1
"""O00429""",[],1
"""O00443""",[],13
"""O00444""",[],22
"""O00451""",[],18
"""O00459""",[],39
"""O00461""",[],1
"""O00462""",[],2
"""O00468""","[""null:00814""]",21
"""O00468""",[],11
"""O00469""",[],1
"""O00471""",[],1
"""O00472""",[],1
"""O00476""",[],2
"""O00478""",[],1
"""O00481""",[],2
"""O00482-1""",[],1
"""O00482-2""",[],1
"""O00482-3""",[],1
"""O00483""",[],1
"""O00487""",[],7
"""O00499""",[],10
"""O00501""",[],1
"""O00505""",[],1
"""O00512""",[],3
"""O00519""",[],1
"""O00533""",[],5
"""O00548""",[],20
"""O00548""","[""null:01148""]",2
"""O00555""",[],2
"""O00560""",[],3
"""O00562""",[],1
"""O00566""",[],1
"""O00567""",[],3
"""O00571""",[],2
"""O00574""",[],4
"""O00584""",[],1
"""O00585""",[],5
"""O00587""",[],1
"""O00602""",[],6
"""O00622""","[""null:00696""]",1
"""O00622""",[],1
"""O00623""",[],8
"""O00625""",[],1
"""O00628""",[],6
"""O00629""",[],1
"""O00631""",[],1
"""O00634""",[],1
"""O00712""",[],1
"""O00716""","[""null:00696""]",1
"""O00716""",[],8
"""O00743""",[],1
"""O00744""","[""null:00160""]",1
"""O00744""",[],1
"""O00744""","[""null:00160"",""253:01381""]",3
"""O00746""",[],2
"""O00748""",[],1
"""O00750""",[],1
"""O00754""",[],2
"""O00755""","[""null:00160""]",1
"""O00755""","[""null:00160"",""206:01381""]",3
"""O00755""",[],1
"""O00757""",[],1
"""O00762""","[""114:00211""]",2
"""O00762""",[],30
"""O00763""",[],1
"""O00763""","[""929:00126""]",1
"""O00764""",[],5
"""O00767""",[],1
"""O14490""",[],4
"""O14492""","[""629:00048""]",2
"""O14492""",[],3
"""O14493""",[],1
"""O14494""",[],2
"""O14495""",[],1
"""O14497""",[],4
"""O14498""",[],1
"""O14508""",[],8
"""O14511""",[],42
"""O14520""",[],5
"""O14521""",[],2
"""O14526""",[],8
