protein,ptms
Q96BV0,[]
Q99836,[]
Q5TAT6,[00037:null]
P10316,[]
P62316,[]
O96015,[]
P42681,[00048:420]
O15198,[]
Q13563,[]
Q01955,[00039:null]
Q71DI3,"[00077:3,00084:5]"
P12107,[00037:null]
Q8IZ52,[]
Q29836,[]
Q14195,[]
Q8NDX2,[]
Q9BWS9,[]
A6NMZ7,"[00038:null,00039:null]"
P50443,[]
Q9H3R2,[00163:null]
Q05513,[]
P58397,[00812:null]
P02818,[]
Q9Y6K0,[]
P14373,[]
O15539,[]
P51659,[]
Q9BZR8,[]
P58876,[01148:121]
Q9NZ94,[]
P23219,[00369:529]
Q02388,"[00039:null,00162:null]"
O43242,[]
P49902,[]
P12259,[]
Q16853,[]
P21802,[]
P35052,[00814:null]
Q9BYM8,[]
Q93074,[]
Q14031,"[00038:null,00039:null,01914:null]"
P63165,[]
P21802,[00048:null]
O95237,[]
P48729,[]
Q96GW7,[00814:null]
O43292,[]
P05997,[00037:null]
P05997,[01914:null]
Q9Y5Q6,[]
P0CG48,[01148:104]
O75881,[]
P0CG47,[01148:186]
P53778,[]
Q8NG92,[]
O15055,"[00046:null,01148:null]"
Q969X1,[]
P35244,[]
Q969Y2,[]
Q9GZP0,[]
Q8WVM7,[]
P63241,[]
Q15465,[01148:null]
P08151,[00696:null]
Q12907,[]
P12109,"[00039:null,01914:null]"
P0CG48,[]
Q9BPX3,"[00047:308,00047:332]"
P29590,[]
Q96CW1,[]
O75487,[00814:null]
Q5NV85,[]
Q3LI72,[]
O76075,[]
P27918,[]
P02671,[]
P12838,[]
Q9NZW4,[]
Q8NGL1,[]
Q969V6,"[01149:499,01149:576,01149:624]"
P52756,[]
P0DML2,[]
Q6P4F7,[]
Q9HBX8,[]
Q7L1W4,[]
P98160,[00814:null]
Q9HAW7,[]
P02452,"[00039:null,00162:null]"
P30457,[]
P62807,[00064:13]
Q07075,[]
P55259,[00092:512]
Q6YHK3,[]
Q86XT2,[]
P16455,[00239:145]
P07919,[]
P15056,[]
Q9NY37,[]
Q9Y6E7,[]
P49238,[]
P30492,[]
P60022,[]
Q8NDL9,[]
Q7Z5P9,[00163:null]
Q9H3N8,[]
Q8WXI8,[]
O43924,[]
Q9H936,[]
P02452,"[00038:null,00039:null,00162:null]"
Q96KP1,[]
Q8NGG7,[]
Q15084,[00696:null]
Q9Y6H5,[]
P24071,[]
P42336,[]
Q9BV40,[]
P12111,[00039:null]
Q9BXC0,[]
O00755,"[00160:null,01381:206]"
Q9NXK8,[]
P10809,[]
P49795,[]
P0CG48,[01148:124]
Q9Y5P4-2,[]
P02458,"[00038:null,00039:null,00162:null]"
P05067,[]
Q9UBI6,[]
P46531,[]
Q16445,[]
Q9H1C4,[]
P50052,[]
P00709,[]
P47884,[]
P36021,[]
Q16637,[]
Q92882,[]
P10909,[]
Q9Y345,[]
P49753,[]
P12107,[]
Q9UQM7,[]
Q7L7L0,[00064:null]
Q9BXS5,[]
P55081,[]
O00764,[]
P23769,[]
Q9BTZ2,[]
Q9NZ52,[]
P12110,"[00039:null,00162:null]"
Q8NBS9,[]
Q9NQL2,[]
Q01955,"[00037:null,00038:null,00039:null]"
Q6PEY2,[]
P01133,[]
P05107,[]
Q8N8V2,[]
P13497-3,[]
P16471,[]
P47881,[]
Q14690,[]
O00744,"[00160:null,01381:253]"
P57773,[]
Q9BYW3,[]
O95294,[]
P20337,[]
Q9UHP7,[]
P02452,"[00037:null,00038:null,00039:null]"
P20908,"[00039:null,00162:null]"
Q00889,[]
O43323,"[00069:23,00314:198]"
P35558,[]
P14635,[]
Q9BYG5,[]
P08123,"[00038:null,00039:null,00130:null]"
P49407,[]
Q9BYR2,[]
P21810,[00814:null]
Q9GZX5,[]
Q9NVH1,[]
Q9HCM4,[]
P00747,[]
Q95365,[]
O75346,[]
Q5JVG2,[]
Q8WYA6,[]
P60891,[]
P13473,[]
O00625,[]
Q9Y5A7-1,[]
Q9BVK6,[]
Q8TA94,[]
P30475,[]
Q9NVW2,[]
Q5NV84,[]
Q02410,[]
Q15633,[]
P20340,"[00113:206,00113:208]"
P29400,[00162:null]
Q8N158,[]
Q13561,[]
P26992,[]
P40424,[]
Q08ET2,[]
P50750,[]
Q06828,[00831:null]
Q16610,[]
Q8IZC6,[00037:null]
P00519,[00046:456]
P63165,[01149:97]
Q9H7B4,[]
P18074,[]
Q13510,[]
Q92692,[]
Q9NPH2,[]
Q9H9L3,[]
Q9NX65,[]
P27918,[00812:null]
P12035,[]
P36894,"[00046:215,00046:216,00046:218,00046:220]"
Q8N5C8,[]
P42285,[]
Q29940,[]
P14210,[]
P68363,[]
P30479,[]
Q99877,[00064:null]
Q01955,"[00037:null,00039:null]"
Q9Y5J9,"[00798:36,00798:40,00798:55,00798:59]"
P20671,[00064:6]
P16104,[]
O76050,[]
Q9BTP7,[]
Q14993,"[00038:null,00039:null,01914:null]"
Q14722,[]
P43657,[]
Q6ZNG1,[]
P10092,[]
P08581,"[00048:1349,00048:1356]"
P61006,[00113:204]
Q8WYP5,[]
P14174,[]
O14595,[]
Q9Y2C9,[]
P61106,"[00113:213,00113:215]"
Q8NGT0,[]
P20827,[]
Q14055,[00162:null]
Q2UY09,[00039:null]
Q16778,[]
P49685,[]
Q92574,[]
Q8N3U4,[]
P07585,[]
Q9UQD0,[]
Q9NTK5,[]
P01019,[]
O15496,[]
P58215,[]
P20849,"[00038:null,00039:null]"
P25940,[00037:null]
O76074,[]
O95210,[]
P43307,[]
P50542-1,[]
Q15464,[00046:null]
Q9UBU3-1,[]
Q13488,[]
P21802-17,"[00048:467,00048:587,00048:589,00048:657,00048:658,00048:734]"
Q93097,"[00160:null,01381:243]"
Q9Y2Y0,[]
Q71U36,[]
P18827,[00814:null]
P00751,[]
P28288,[]
Q9P0U4,[]
P13942,"[00037:null,00038:null,00039:null]"
Q9UBD6,[]
Q9NP90,[]
Q99519,[]
P01308,"[00087:53,00798:31,00798:43]"
Q8NFW1,"[00039:null,01914:null]"
O95045,[]
O43448,[]
Q8NH67,[]
Q14055,[01914:null]
P07900,[]
Q02388,[00037:null]
P08758,[]
P25705,[]
P83436,[]
P10323,[]
O60543,[]
O15228,[]
P25963,"[00046:32,00046:36,01148:21,01148:22]"
P68366,[]
P55210,[]
Q9BQQ3,"[00046:274,00046:373,00047:216]"
Q6UVK1,[00814:null]
Q29RF7,[]
Q92890,[]
Q8WV37,[]
P23246,[00048:null]
Q5FYB0,[]
Q03692,"[00038:null,00039:null,01914:null]"
P27658,"[00038:null,00039:null,01914:null]"
P62987,[]
O75964,[]
Q9NPG2,[]
Q13415,"[00046:null,00047:null]"
O60262,[]
P13611,[00814:null]
O43252,"[00046:445,00046:729]"
P18850,[]
P01909,[]
P30455,[]
Q9GZT5,"[00160:null,01381:268]"
Q9NY26,[]
P12107,[00162:null]
P11142,[]
Q9NPJ3,[]
Q9Y2E5,[]
Q8WXI7,[00163:null]
P08572,"[00037:null,00039:null]"
P01700,[]
Q8N4M1,[]
P42224-2,[00048:701]
Q92572,[]
Q8NI17,[]
Q9UJY1,[]
Q8NCH0,[]
P05997,"[00039:null,01914:null]"
Q14108,[]
Q6P1J6,[]
P00734,[]
O43597,"[00046:112,00046:121]"
Q9NRA2,[]
Q9H222,[]
Q9BWV1-1,[]
P08236,[]
P30260,[]
P15056,"[00046:445,00046:729]"
P04908,[00076:4]
Q14993,[]
Q14993,"[00037:null,00039:null]"
Q08AN1,[]
Q9BZE9,[]
Q9Y6F9,[]
P33947,[]
Q9ULW8,[]
P41208,[]
P62851,[]
Q96FW1,[]
Q96GE5,[]
Q14055,[00037:null]
P16104,[00048:143]
Q9Y6N8,[]
Q96K58,[]
Q5SZD4,[]
P19652,[]
O14925,[]
Q9UBV7,[]
P02458,[00039:null]
P57764,[]
P07738,[]
Q9Y5K3,[]
P42226,"[00046:407,00048:641]"
P04085-1,[]
P02462,[00162:null]
P11488,[00503:2]
P18669,[]
Q70SY1,[]
O00468,[00814:null]
Q29974,[]
O95436,[]
P14060,[]
Q7LGC8,[]
P00533,"[00048:992,00048:1045,00048:1068,00048:1086,00048:1148,00048:1173]"
O15498,[00115:194]
D6RBQ6,[]
