UNIPROT	REACTION_STID	REACTION_DISPLAY_NAME	PATHWAY_STID	PATHWAY_DISPLAY_NAME
A0FGR8	R-HSA-8857662	ESYT1:ESYT2:ESYT3 transport GPL from plasma membrane to ER membrane	R-HSA-1430728	Metabolism
A0FGR8	R-HSA-8857662	ESYT1:ESYT2:ESYT3 transport GPL from plasma membrane to ER membrane	R-HSA-556833	Metabolism of lipids
A0FGR8	R-HSA-8857662	ESYT1:ESYT2:ESYT3 transport GPL from plasma membrane to ER membrane	R-HSA-428157	Sphingolipid metabolism
A0FGR8	R-HSA-8857662	ESYT1:ESYT2:ESYT3 transport GPL from plasma membrane to ER membrane	R-HSA-1660662	Glycosphingolipid metabolism
O95772	R-HSA-196126	CHOL translocates from cytosol to mitochondrial intermembrane space	R-HSA-1430728	Metabolism
O95772	R-HSA-196126	CHOL translocates from cytosol to mitochondrial intermembrane space	R-HSA-556833	Metabolism of lipids
O95772	R-HSA-196126	CHOL translocates from cytosol to mitochondrial intermembrane space	R-HSA-8957322	Metabolism of steroids
O95772	R-HSA-196126	CHOL translocates from cytosol to mitochondrial intermembrane space	R-HSA-196071	Metabolism of steroid hormones
O95772	R-HSA-196126	CHOL translocates from cytosol to mitochondrial intermembrane space	R-HSA-196108	Pregnenolone biosynthesis
Q8TEP8	R-HSA-3000310	AURKA phosphorylates PLK1	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-3000310	AURKA phosphorylates PLK1	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
Q8TEP8	R-HSA-3000310	AURKA phosphorylates PLK1	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-3000310	AURKA phosphorylates PLK1	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-3000310	AURKA phosphorylates PLK1	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-3000319	BORA binds PLK1 and AURKA	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-3000319	BORA binds PLK1 and AURKA	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
Q8TEP8	R-HSA-3000319	BORA binds PLK1 and AURKA	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-3000319	BORA binds PLK1 and AURKA	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-3000319	BORA binds PLK1 and AURKA	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-2574840	AJUBA facilitates AURKA autophosphorylation	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-2574840	AJUBA facilitates AURKA autophosphorylation	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
Q8TEP8	R-HSA-2574840	AJUBA facilitates AURKA autophosphorylation	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-2574840	AJUBA facilitates AURKA autophosphorylation	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-2574840	AJUBA facilitates AURKA autophosphorylation	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-8853419	TPX2 promotes AURKA autophosphorylation	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-8853419	TPX2 promotes AURKA autophosphorylation	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-8853419	TPX2 promotes AURKA autophosphorylation	R-HSA-8854518	AURKA Activation by TPX2
Q8TEP8	R-HSA-8853419	TPX2 promotes AURKA autophosphorylation	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-8853419	TPX2 promotes AURKA autophosphorylation	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-2574845	AJUBA binds centrosome-associated AURKA	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-2574845	AJUBA binds centrosome-associated AURKA	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
Q8TEP8	R-HSA-2574845	AJUBA binds centrosome-associated AURKA	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-2574845	AJUBA binds centrosome-associated AURKA	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-2574845	AJUBA binds centrosome-associated AURKA	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-8853405	TPX2 binds AURKA at centrosomes	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-8853405	TPX2 binds AURKA at centrosomes	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-8853405	TPX2 binds AURKA at centrosomes	R-HSA-8854518	AURKA Activation by TPX2
Q8TEP8	R-HSA-8853405	TPX2 binds AURKA at centrosomes	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-8853405	TPX2 binds AURKA at centrosomes	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380455	Recruitment of CDK11p58 to the centrosomes	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380455	Recruitment of CDK11p58 to the centrosomes	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-380455	Recruitment of CDK11p58 to the centrosomes	R-HSA-380287	Centrosome maturation
Q8TEP8	R-HSA-380455	Recruitment of CDK11p58 to the centrosomes	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
Q8TEP8	R-HSA-380455	Recruitment of CDK11p58 to the centrosomes	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-380455	Recruitment of CDK11p58 to the centrosomes	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380311	Recruitment of Plk1 to centrosomes	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380311	Recruitment of Plk1 to centrosomes	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-380311	Recruitment of Plk1 to centrosomes	R-HSA-380287	Centrosome maturation
Q8TEP8	R-HSA-380311	Recruitment of Plk1 to centrosomes	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
Q8TEP8	R-HSA-380311	Recruitment of Plk1 to centrosomes	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-380311	Recruitment of Plk1 to centrosomes	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380283	Recruitment of additional gamma tubulin/ gamma TuRC to the centrosome	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380283	Recruitment of additional gamma tubulin/ gamma TuRC to the centrosome	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-380283	Recruitment of additional gamma tubulin/ gamma TuRC to the centrosome	R-HSA-380287	Centrosome maturation
Q8TEP8	R-HSA-380283	Recruitment of additional gamma tubulin/ gamma TuRC to the centrosome	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
Q8TEP8	R-HSA-380283	Recruitment of additional gamma tubulin/ gamma TuRC to the centrosome	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-380283	Recruitment of additional gamma tubulin/ gamma TuRC to the centrosome	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380508	Translocation of NuMA to the centrosomes	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380508	Translocation of NuMA to the centrosomes	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
Q8TEP8	R-HSA-380508	Translocation of NuMA to the centrosomes	R-HSA-68877	Mitotic Prometaphase
Q8TEP8	R-HSA-380508	Translocation of NuMA to the centrosomes	R-HSA-68886	M Phase
Q8TEP8	R-HSA-380508	Translocation of NuMA to the centrosomes	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380316	Association of NuMA with microtubules	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380316	Association of NuMA with microtubules	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
Q8TEP8	R-HSA-380316	Association of NuMA with microtubules	R-HSA-68877	Mitotic Prometaphase
Q8TEP8	R-HSA-380316	Association of NuMA with microtubules	R-HSA-68886	M Phase
Q8TEP8	R-HSA-380316	Association of NuMA with microtubules	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380294	Loss of C-Nap-1 from centrosomes	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380294	Loss of C-Nap-1 from centrosomes	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-380294	Loss of C-Nap-1 from centrosomes	R-HSA-380287	Centrosome maturation
Q8TEP8	R-HSA-380294	Loss of C-Nap-1 from centrosomes	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
Q8TEP8	R-HSA-380294	Loss of C-Nap-1 from centrosomes	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-380294	Loss of C-Nap-1 from centrosomes	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-380287	Centrosome maturation
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-380259	Loss of Nlp from mitotic centrosomes
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-380272	Plk1-mediated phosphorylation of Nlp	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-1640170	Cell Cycle
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-69275	G2/M Transition
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-380287	Centrosome maturation
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-380259	Loss of Nlp from mitotic centrosomes
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-453274	Mitotic G2-G2/M phases
Q8TEP8	R-HSA-380303	Dissociation of Phospho-Nlp from the centrosome	R-HSA-69278	Cell Cycle, Mitotic
Q8TEP8	R-HSA-5626228	The distal appendage proteins recruit TTBK2	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5626228	The distal appendage proteins recruit TTBK2	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5626228	The distal appendage proteins recruit TTBK2	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5626227	CP110 and CEP97 dissociate from the centriole	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5626227	CP110 and CEP97 dissociate from the centriole	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5626227	CP110 and CEP97 dissociate from the centriole	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5626699	MARK4 binds ODF2 in the centriole	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5626699	MARK4 binds ODF2 in the centriole	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5626699	MARK4 binds ODF2 in the centriole	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5626223	C2CD3 and OFD1 recruit 5 distal appendage proteins to the centriole	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5626223	C2CD3 and OFD1 recruit 5 distal appendage proteins to the centriole	R-HSA-5617833	Cilium Assembly
Q8TEP8	R-HSA-5626223	C2CD3 and OFD1 recruit 5 distal appendage proteins to the centriole	R-HSA-5620912	Anchoring of the basal body to the plasma membrane
Q8TEP8	R-HSA-5626220	C2CD3 binds the mother centriole	R-HSA-1852241	Organelle biogenesis and maintenance
Q8TEP8	R-HSA-5626220	C2CD3 binds the mother centriole	R-HSA-5617833	Cilium Assembly
