UniProtKB:A0A075B6P5,20-120
UniProtKB:A0A075B6S6,21-120
UniProtKB:A0A0C4DH25,21-116
UniProtKB:A0A0C4DH73,23-117
UniProtKB:A0A183,1-80
UniProtKB:A0AVF1,1-554
UniProtKB:A0AVI4,1-362
UniProtKB:A0AVK6,1-867
UniProtKB:A0AVT1,1-1052
UniProtKB:A0FGR8,1-921
UniProtKB:A0FGR9,1-886
UniProtKB:A0JLT2,1-244
UniProtKB:A0M8Q6,1-106
UniProtKB:A0MZ66,1-631
UniProtKB:A0PJK1,1-596
UniProtKB:A1A4S6,1-786
UniProtKB:A1A580,1-65
UniProtKB:A1A5B4,1-782
UniProtKB:A1E959,16-279
UniProtKB:A1IGU5,1-675
UniProtKB:A1L190,1-88
UniProtKB:A1L3X0,1-281
UniProtKB:A1L4H1,17-1573
UniProtKB:A2KUC3,1-?
UniProtKB:A2NJV5,21-?
UniProtKB:A2NXD2,23-?
UniProtKB:A2RRD8,1-509
UniProtKB:A2RRP1,1-2371
UniProtKB:A2RU49,1-373
UniProtKB:A2RUC4,1-315
UniProtKB:A2RUS2,1-1198
UniProtKB:A2RUS2,1-1198,Ser-472/Ser-490,MOD:00046
UniProtKB:A2VDF0,1-154
UniProtKB:A2VEC9,18-5147,XXX-null,MOD:00812
UniProtKB:A2VEC9,18-5147
UniProtKB:A3KFT3,1-312
UniProtKB:A4D1E1,1-1349
UniProtKB:A4D1S5,1-217,Cys-215/Cys-217,MOD:00113
UniProtKB:A4D1S5,1-217
UniProtKB:A4D2G3,1-310
UniProtKB:A4GXA9,1-379
UniProtKB:A5D6W6,1-292
UniProtKB:A5D8V6,1-355
UniProtKB:A5LHX3,50-300
UniProtKB:A5PL33,1-1030
UniProtKB:A5PLK6,1-1076
UniProtKB:A5PLN9,1-417
UniProtKB:A5X5Y0,26-456
UniProtKB:A5YKK6,1-2376
UniProtKB:A5YM69,1-484
UniProtKB:A5YM72,1-827
UniProtKB:A6H8Y1,1-2624
UniProtKB:A6NCV1,1-312
UniProtKB:A6NCW0,1-530
UniProtKB:A6NCW7,1-530
UniProtKB:A6ND01,20-228,XXX-228,MOD:00105
UniProtKB:A6ND48,1-311
UniProtKB:A6NDH6,1-313
UniProtKB:A6NDL8,1-312
UniProtKB:A6NDX5,1-716
UniProtKB:A6NET4,1-321
UniProtKB:A6NF89,1-314
UniProtKB:A6NFC9,1-320
UniProtKB:A6NFH5,1-140
UniProtKB:A6NGB9,1-483
UniProtKB:A6NGU5,1-380
UniProtKB:A6NGU5,381-568
UniProtKB:A6NGY5,1-319
UniProtKB:A6NH00,1-312
UniProtKB:A6NH21,1-518
UniProtKB:A6NHA9,1-309
UniProtKB:A6NHC0,1-703
UniProtKB:A6NHG9,1-310
UniProtKB:A6NHJ4,1-632
UniProtKB:A6NHL2,1-446
UniProtKB:A6NHL2,1-446,XXX-null,MOD:00206
UniProtKB:A6NHL2,1-446,Lys-null,MOD:00064
UniProtKB:A6NHL2,1-446,XXX-null,MOD:00207
UniProtKB:A6NI28,1-874
UniProtKB:A6NI73,42-299
UniProtKB:A6NIH7,2-251
UniProtKB:A6NIJ9,1-312
UniProtKB:A6NIX2,1-430
UniProtKB:A6NJZ3,1-312
UniProtKB:A6NK53,1-670
UniProtKB:A6NK58,32-231
UniProtKB:A6NK59,1-587
UniProtKB:A6NKK0,1-313
UniProtKB:A6NL08,1-312
UniProtKB:A6NL26,1-309
UniProtKB:A6NLF2,1-546
UniProtKB:A6NM03,1-316
UniProtKB:A6NM76,1-312
UniProtKB:A6NMB1,17-481
UniProtKB:A6NMS3,1-321
UniProtKB:A6NMU1,1-304
UniProtKB:A6NMZ5,1-311
UniProtKB:A6NMZ7,?-2263,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:A6NMZ7,?-2263,Lys-null,MOD:00162
UniProtKB:A6NMZ7,?-2263,Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A6NMZ7,?-2263,Lys-null,MOD:00037
UniProtKB:A6NMZ7,?-2263,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A6NMZ7,?-2263,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A6NMZ7,?-2263,Lys-null,MOD:01914
UniProtKB:A6NMZ7,?-2263,Pro-null,MOD:00039
UniProtKB:A6NMZ7,?-2263,Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A6NMZ7,?-2263,Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A6NMZ7,?-2263
UniProtKB:A6NMZ7,?-2263,Lys-null,MOD:00037|Pro-null,MOD:00038|Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-?,Lys-null,MOD:00037|Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:01914
UniProtKB:A6NMZ7,20-?,Pro-null,MOD:00038|Pro-null,MOD:00039|Lys-null,MOD:00162
UniProtKB:A6NMZ7,20-?,Lys-null,MOD:01914
UniProtKB:A6NMZ7,20-?,Lys-null,MOD:00037
UniProtKB:A6NMZ7,20-?,Pro-null,MOD:00039
UniProtKB:A6NMZ7,20-?,Pro-null,MOD:00039|Lys-null,MOD:00162
